customer_id,gender,age,has_partner,has_dependents,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,has_paperless_billing,has_online_security,has_tech_support,has_streaming_tv,num_support_tickets,avg_call_duration,churn
30001,Male,56,Yes,No,26,One year,Credit card,DSL,72.96,1541.64,Yes,No,No,Yes,2,4.2,0
30002,Female,69,No,No,7,Month-to-month,Electronic check,DSL,24.18,171.63,Yes,Yes,Yes,No,0,24.5,1
30003,Male,46,No,No,14,Month-to-month,Mailed check,No,88.38,1008.51,Yes,No,No,No,2,25.1,0
30004,Male,32,Yes,Yes,7,Two year,Bank transfer,Fiber optic,88.39,694.97,Yes,Yes,Yes,No,4,24.3,0
30005,Male,60,No,Yes,9,Month-to-month,Mailed check,DSL,112.92,943.4,Yes,Yes,No,No,1,22.1,0
30006,Male,25,Yes,No,48,Month-to-month,Electronic check,No,68.73,3381.42,No,Yes,No,No,2,24.0,0
30007,Male,78,Yes,No,72,Month-to-month,Electronic check,Fiber optic,41.49,2723.74,Yes,Yes,No,No,2,20.5,0
30008,Male,38,No,No,59,Two year,Credit card,Fiber optic,22.55,1480.79,Yes,Yes,No,No,0,20.4,0
30009,Male,56,Yes,No,39,One year,Electronic check,DSL,60.4,2719.78,No,No,No,Yes,2,20.4,0
30010,Female,75,Yes,No,18,Month-to-month,Bank transfer,No,48.8,842.79,No,Yes,No,Yes,3,15.9,1
30011,Female,36,No,No,59,Month-to-month,Mailed check,Fiber optic,95.63,6461.24,Yes,No,No,No,5,11.5,0
30012,Female,40,No,No,17,One year,Bank transfer,Fiber optic,54.14,834.63,Yes,No,Yes,No,1,22.2,1
30013,Male,28,No,Yes,14,Month-to-month,Bank transfer,DSL,114.81,1629.62,Yes,Yes,Yes,No,0,9.7,1
30014,Female,28,Yes,No,31,One year,Mailed check,DSL,116.16,4117.71,No,No,No,Yes,2,16.7,0
30015,Male,41,No,No,24,Month-to-month,Mailed check,DSL,81.33,1815.97,Yes,No,No,Yes,2,13.6,0
30016,Male,70,No,No,60,Two year,Bank transfer,No,112.72,7991.51,Yes,No,No,Yes,0,9.0,0
30017,Male,53,Yes,No,45,Month-to-month,Electronic check,DSL,95.61,3651.71,No,No,No,Yes,2,29.3,1
30018,Female,57,No,No,3,One year,Bank transfer,Fiber optic,73.78,178.69,Yes,No,Yes,No,6,8.5,0
30019,Female,41,Yes,Yes,37,One year,Bank transfer,DSL,36.39,1564.09,No,No,No,No,0,10.0,0
30020,Male,20,No,Yes,43,Month-to-month,Bank transfer,DSL,64.78,2304.92,No,Yes,No,No,0,5.7,0
30021,Male,39,No,Yes,40,Month-to-month,Mailed check,DSL,75.21,3600.32,Yes,No,No,Yes,3,24.9,0
30022,Female,70,Yes,No,55,Month-to-month,Electronic check,Fiber optic,106.12,6890.45,Yes,No,No,Yes,7,18.0,1
30023,Female,19,No,Yes,39,Two year,Bank transfer,Fiber optic,67.1,2236.95,Yes,No,No,No,1,18.8,0
30024,Female,41,Yes,Yes,15,Month-to-month,Electronic check,No,109.56,1668.11,No,Yes,Yes,No,1,24.8,1
30025,Female,61,No,No,4,One year,Credit card,No,86.78,303.37,No,No,No,No,3,10.9,0
30026,Female,47,Yes,No,25,Two year,Credit card,DSL,31.97,776.28,No,Yes,No,Yes,2,6.6,0
30027,Female,55,Yes,No,13,Two year,Electronic check,No,119.49,1280.86,Yes,No,No,No,1,6.8,0
30028,Female,19,No,No,33,One year,Electronic check,Fiber optic,71.78,2107.16,No,No,No,No,2,22.2,1
30029,Male,77,No,No,16,One year,Mailed check,No,57.97,876.79,Yes,No,No,No,4,18.8,0
30030,Male,38,Yes,Yes,42,Two year,Credit card,DSL,85.23,3491.81,Yes,No,No,No,2,7.0,0
30031,Female,50,No,No,66,Two year,Mailed check,No,29.11,2288.22,Yes,No,No,No,3,5.2,0
30032,Female,29,No,No,55,Two year,Mailed check,DSL,82.93,5122.84,No,No,No,No,2,4.5,0
30033,Male,75,Yes,No,42,One year,Bank transfer,DSL,68.82,3164.93,No,No,Yes,No,4,19.2,1
30034,Female,39,Yes,No,34,Month-to-month,Electronic check,DSL,59.48,2052.28,Yes,No,No,Yes,3,1.0,0
30035,Male,78,No,No,30,Month-to-month,Mailed check,DSL,115.21,3926.35,No,No,No,No,2,1.5,0
30036,Male,61,Yes,No,13,Month-to-month,Electronic check,Fiber optic,71.3,867.33,Yes,Yes,Yes,Yes,1,12.3,0
