applicant_id,age,annual_income,credit_score,employment_years,debt_to_income_ratio,num_credit_lines,loan_approved
10001,51.0,70990.33,626,0.0,0.2205,2,1
10002,43.3,63869.51,668,3.7,0.3453,5,0
10003,52.8,50894.46,617,5.9,0.3527,3,0
10004,63.3,40295.95,655,17.4,0.4209,1,0
10005,42.2,60473.35,529,10.8,0.145,2,0
10006,42.2,55902.28,697,1.3,0.4389,6,0
10007,64.0,63427.9,680,10.4,0.05,4,1
10008,54.2,59527.58,615,0.3,0.2555,4,0
10009,39.4,65743.29,733,13.4,0.2768,4,1
10010,51.5,41971.47,755,5.6,0.445,6,1
10011,39.4,69760.91,551,7.5,0.3534,5,0
10012,39.4,52963.99,619,14.6,0.1392,3,0
10013,47.9,81128.91,618,1.6,0.2023,5,1
10014,22.0,39662.18,605,1.0,0.3798,5,0
10015,24.3,76039.46,746,5.1,0.3381,5,1
10016,38.3,52968.66,664,13.2,0.2631,4,1
10017,32.8,40228.73,659,0.4,0.2779,6,0
10018,48.8,42741.71,520,0.0,0.4544,2,0
10019,34.1,45194.79,731,5.7,0.2723,9,0
10020,28.1,56362.49,581,10.8,0.3368,2,0
10021,62.6,57842.53,685,14.0,0.6755,2,0
10022,42.3,41394.5,702,5.7,0.1364,2,0
10023,45.8,49634.68,789,5.9,0.0722,3,1
10024,27.9,82134.06,575,13.8,0.4675,6,0
10025,38.5,75913.15,438,0.0,0.2482,2,0
10026,46.3,56544.86,695,6.1,0.3023,4,0
10027,31.2,50570.05,824,9.0,0.2328,3,1
10028,49.5,51800.47,779,10.2,0.311,9,1
10029,37.8,59202.77,697,5.5,0.5898,4,1
10030,41.5,34658.11,641,8.2,0.4703,0,0
10031,37.8,46139.35,745,0.0,0.4793,4,0
10032,67.2,24971.24,602,4.7,0.1376,4,0
10033,44.8,55988.35,718,10.3,0.1773,3,1
10034,32.3,59707.94,720,3.1,0.05,3,0
10035,54.9,42752.2,765,8.3,0.2286,1,1
10036,30.3,73609.8,850,10.2,0.4935,6,1
10037,47.5,31613.52,711,6.3,0.4275,8,1
10038,21.5,28034.38,639,8.9,0.3168,3,0
10039,29.1,53366.78,678,3.2,0.3467,2,0
10040,47.4,65706.47,538,7.0,0.2467,6,0
10041,53.9,75258.92,624,11.1,0.3807,2,0
10042,47.1,43116.74,647,8.8,0.4649,6,0
10043,43.6,66180.21,638,5.1,0.1076,3,1
10044,41.4,49422.37,692,9.1,0.3949,3,0
10045,27.3,47410.59,614,11.6,0.4899,1,0
10046,36.4,63254.9,770,0.0,0.2877,3,1
10047,39.5,59784.84,680,13.8,0.4551,4,1
10048,57.7,26354.12,679,6.3,0.7722,4,0
10049,49.1,72148.11,654,10.1,0.3343,3,0
10050,23.8,70701.37,692,14.0,0.409,2,1
10051,48.9,40616.56,746,1.1,0.2393,8,0
10052,40.4,55937.05,611,4.5,0.3772,3,0
10053,36.9,57410.45,627,6.6,0.419,4,0
10054,52.3,53910.11,656,4.1,0.3792,4,0
10055,57.4,41745.42,572,16.7,0.197,7,0
10056,56.2,39925.65,614,3.7,0.381,4,0
10057,34.9,49616.69,642,5.2,0.5693,2,1
10058,41.3,67590.94,750,9.0,0.4173,2,1
10059,49.0,58154.0,701,2.0,0.4943,3,0
10060,56.7,44440.79,695,6.0,0.3144,4,0
10061,39.2,61575.48,748,9.6,0.4625,5,1
10062,42.8,15000.0,669,6.3,0.3919,6,0
10063,31.7,67231.49,711,7.5,0.2074,6,0
10064,30.6,23904.29,672,5.4,0.3978,6,0
